line,name,colour,stripe,old_colour
1,Sokolnicheskaya,ED1B35,NULL,ED1B35
2,Zamoskvoretskaya,44B85C,NULL,44B85C
3,Arbatsko-Pokrovskaya,0078BF,NULL,0078BF
4,Filevskaya,19C1F3,NULL,19C1F3
5,Circle,894E35,NULL,894E35
6,Kaluzhsko-Rizhskaya,F58631,NULL,F58631
7,Tagansko-Krasnopresnenskaya,8E479C,NULL,8E479C
8,Kalininsko-Solncevskaya,FFCB31,NULL,FFCB31
9,Serpuhovsko-Timirjazevskaya,A1A2A3,NULL,A1A2A3
10,Lublinsko-Dmitrovskaya,B3D445,NULL,B3D445
11,Kahovskaya,79CDCD,NULL,79CDCD
12,Butovskaya,ACBFE1,NULL,ACBFE1
13,Monorail,9999FF,NULL,9999FF
14,MKZhD,8B0000,NULL,8B0000
